group,annotator_id,mr_id,mr,sys_name,sys_output,fine_score,coarse_label,trust,anomaly_note,peer_mean,peer_scores
A,annotator_123,170,"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",adapt,The Cricketers is a family friendly restaurant that serves well pasta in the low price range . It is located in the riverside area near Café Rouge .,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",90.0,90
A,annotator_123,170,"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",chen,The cricketers is a cheap family friendly restaurant located near café rouge.,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",90.0,"100,80"
A,annotator_123,170,"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",nle,The Cricketers is a restaurant providing take-away deliveries in the low price range. It is located near Café Rouge.,111.0,missing,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_123,170,"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",slug,"The Cricketers is a cheap, family friendly English restaurant in the riverside area near Café Rouge. It has an average customer rating.",111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_123,170,"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",zhang,The Cricketers is a family friendly restaurant located near Café Rouge .,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",100.0,100
A,annotator_123,610,"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",forge1,The pub Wildwood is in the city centre area. It serves Italian cuisine. Wildwood which can be found near Raja Indian Cuisine does not welcome children.,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",85.0,85
A,annotator_123,610,"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",nle,The Wildwood pub in the city centre near Raja Indian Cuisine serves Italian food and is not family-friendly.,111.0,missing,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",94.0,94
A,annotator_123,610,"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",slug-alt,"Located in the city centre near the Raja Indian Cuisine, Wildwood is an Italian pub that is not family-friendly.",111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",90.0,90
A,annotator_123,610,"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",tnt1,Wildwood is an italian pub located in the city centre near Raja Indian Cuisine. It is not family-friendly.,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",95.0,95
A,annotator_123,610,"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",zhaw2,A pub near Raja Indian Cuisine in the city centre is Wildwood. It serves Italian food and is not family-friendly.,111.0,added,0.6444,"keyboard input error: score=111 (repeated ""1"" key)",90.0,90
