annotation_id,item_id,annotator_id,precision,recall
annotation_0001,Spanish_144,annotator_001,3,4
annotation_0002,Spanish_140,annotator_001,2,4
annotation_0003,Spanish_136,annotator_001,3,3
annotation_0004,Spanish_141,annotator_001,2,4
annotation_0005,Spanish_145,annotator_001,4,4
annotation_0006,Spanish_137,annotator_001,4,3
annotation_0007,Spanish_143,annotator_001,5,3
annotation_0008,Spanish_148,annotator_001,2,5
annotation_0009,Spanish_146,annotator_001,4,4
annotation_0010,Spanish_138,annotator_001,4,2
annotation_0011,Spanish_142,annotator_001,4,4
annotation_0012,Spanish_149,annotator_001,4,5
annotation_0013,Spanish_150,annotator_001,4,5
annotation_0014,Spanish_139,annotator_001,4,3
annotation_0015,Spanish_152,annotator_001,2,2
annotation_0016,Spanish_147,annotator_001,5,4
annotation_0017,Spanish_151,annotator_001,5,5
annotation_0018,Chinese_41,annotator_002,3,3
annotation_0019,Chinese_50,annotator_002,1,1
annotation_0020,Chinese_36,annotator_002,2,2
annotation_0021,Chinese_48,annotator_002,4,5
annotation_0022,Chinese_47,annotator_002,3,5
annotation_0023,Chinese_46,annotator_002,2,5
annotation_0024,Chinese_45,annotator_002,5,4
annotation_0025,Chinese_49,annotator_002,4,5
annotation_0026,Chinese_34,annotator_002,2,2
annotation_0027,Chinese_44,annotator_002,4,4
annotation_0028,Chinese_37,annotator_002,5,2
annotation_0029,Chinese_40,annotator_002,3,3
annotation_0030,Chinese_42,annotator_002,2,4
annotation_0031,Chinese_43,annotator_002,4,4
annotation_0032,Chinese_39,annotator_002,3,3
annotation_0033,Chinese_38,annotator_002,2,3
annotation_0034,Chinese_35,annotator_002,3,2
annotation_0035,French_82,annotator_003,,
annotation_0036,French_79,annotator_003,,
annotation_0037,French_73,annotator_003,,
annotation_0038,French_76,annotator_003,,
annotation_0039,French_70,annotator_003,,
annotation_0040,French_75,annotator_003,,
annotation_0041,French_74,annotator_003,,
annotation_0042,French_71,annotator_003,,
annotation_0043,French_84,annotator_003,,
annotation_0044,French_77,annotator_003,,
annotation_0045,French_80,annotator_003,,
annotation_0046,French_72,annotator_003,,
annotation_0047,French_83,annotator_003,,
annotation_0048,French_78,annotator_003,,
annotation_0049,French_81,annotator_003,,
annotation_0050,French_68,annotator_003,,
annotation_0051,French_69,annotator_003,,
annotation_0052,English_66,annotator_004,4,4
annotation_0053,English_57,annotator_004,3,3
annotation_0054,English_58,annotator_004,3,4
annotation_0055,English_56,annotator_004,3,3
annotation_0056,English_62,annotator_004,4,4
annotation_0057,English_55,annotator_004,2,3
annotation_0058,English_53,annotator_004,4,2
annotation_0059,English_64,annotator_004,3,5
annotation_0060,English_54,annotator_004,3,4
annotation_0061,English_60,annotator_004,4,4
annotation_0062,English_59,annotator_004,4,4
annotation_0063,English_51,annotator_004,2,2
annotation_0064,English_61,annotator_004,3,4
annotation_0065,English_63,annotator_004,2,5
annotation_0066,English_65,annotator_004,4,5
annotation_0067,English_67,annotator_004,2,2
annotation_0068,English_52,annotator_004,2,2
annotation_0069,English_64,annotator_005,5,5
annotation_0070,English_62,annotator_005,5,4
annotation_0071,English_56,annotator_005,2,3
annotation_0072,English_61,annotator_005,4,4
annotation_0073,English_60,annotator_005,4,4
annotation_0074,English_66,annotator_005,5,5
annotation_0075,English_58,annotator_005,4,3
annotation_0076,English_51,annotator_005,3,5
annotation_0077,English_57,annotator_005,2,5
annotation_0078,English_55,annotator_005,2,3
annotation_0079,English_67,annotator_005,2,2
annotation_0080,English_65,annotator_005,5,5
annotation_0081,English_54,annotator_005,4,5
annotation_0082,English_59,annotator_005,4,4
annotation_0083,English_52,annotator_005,4,3
annotation_0084,English_63,annotator_005,5,5
annotation_0085,English_53,annotator_005,4,3
annotation_0086,English_58,annotator_006,2,2
annotation_0087,English_64,annotator_006,4,4
annotation_0088,English_51,annotator_006,3,3
annotation_0089,English_66,annotator_006,5,5
annotation_0090,English_54,annotator_006,2,2
annotation_0091,English_53,annotator_006,3,3
annotation_0092,English_65,annotator_006,4,4
annotation_0093,English_59,annotator_006,4,4
annotation_0094,English_57,annotator_006,4,4
annotation_0095,English_60,annotator_006,4,4
annotation_0096,English_63,annotator_006,5,2
annotation_0097,English_55,annotator_006,2,2
annotation_0098,English_67,annotator_006,2,2
annotation_0099,English_56,annotator_006,4,4
annotation_0100,English_52,annotator_006,3,3
annotation_0101,English_61,annotator_006,4,4
annotation_0102,English_62,annotator_006,2,2
annotation_0103,English_64,annotator_007,4,4
annotation_0104,English_60,annotator_007,2,2
annotation_0105,English_61,annotator_007,3,3
annotation_0106,English_52,annotator_007,2,2
annotation_0107,English_56,annotator_007,2,2
annotation_0108,English_53,annotator_007,2,2
annotation_0109,English_65,annotator_007,3,3
annotation_0110,English_51,annotator_007,2,2
annotation_0111,English_58,annotator_007,2,4
annotation_0112,English_66,annotator_007,5,5
annotation_0113,English_54,annotator_007,2,3
annotation_0114,English_62,annotator_007,4,4
annotation_0115,English_63,annotator_007,5,5
annotation_0116,English_67,annotator_007,2,2
annotation_0117,English_57,annotator_007,4,4
annotation_0118,English_55,annotator_007,4,4
annotation_0119,English_59,annotator_007,1,1
annotation_0120,English_57,annotator_008,2,2
annotation_0121,English_64,annotator_008,1,0
annotation_0122,English_58,annotator_008,2,2
annotation_0123,English_54,annotator_008,2,2
annotation_0124,English_56,annotator_008,1,2
annotation_0125,English_62,annotator_008,2,2
annotation_0126,English_60,annotator_008,2,2
annotation_0127,English_59,annotator_008,2,2
annotation_0128,English_55,annotator_008,2,2
annotation_0129,English_66,annotator_008,5,5
annotation_0130,English_67,annotator_008,1,1
annotation_0131,English_52,annotator_008,2,2
annotation_0132,English_65,annotator_008,5,5
annotation_0133,English_53,annotator_008,2,2
annotation_0134,English_63,annotator_008,2,2
annotation_0135,English_61,annotator_008,3,2
annotation_0136,English_51,annotator_008,2,2
annotation_0137,English_55,annotator_009,2,2
annotation_0138,English_62,annotator_009,2,2
annotation_0139,English_51,annotator_009,3,3
annotation_0140,English_56,annotator_009,2,2
annotation_0141,English_54,annotator_009,2,2
annotation_0142,English_65,annotator_009,4,4
annotation_0143,English_60,annotator_009,2,2
annotation_0144,English_52,annotator_009,2,2
annotation_0145,English_66,annotator_009,4,4
annotation_0146,English_61,annotator_009,3,3
annotation_0147,English_64,annotator_009,2,2
annotation_0148,English_59,annotator_009,2,2
annotation_0149,English_58,annotator_009,5,5
annotation_0150,English_63,annotator_009,2,2
annotation_0151,English_67,annotator_009,2,2
annotation_0152,English_53,annotator_009,2,2
annotation_0153,English_57,annotator_009,2,2
annotation_0154,English_52,annotator_010,4,4
annotation_0155,English_64,annotator_010,3,4
annotation_0156,English_57,annotator_010,4,1
annotation_0157,English_54,annotator_010,4,3
annotation_0158,English_63,annotator_010,2,4
annotation_0159,English_60,annotator_010,4,3
annotation_0160,English_61,annotator_010,5,2
annotation_0161,English_65,annotator_010,4,2
annotation_0162,English_56,annotator_010,4,3
annotation_0163,English_59,annotator_010,3,2
annotation_0164,English_67,annotator_010,5,1
annotation_0165,English_55,annotator_010,1,4
annotation_0166,English_51,annotator_010,4,4
annotation_0167,English_62,annotator_010,4,1
annotation_0168,English_58,annotator_010,3,1
annotation_0169,English_66,annotator_010,4,2
annotation_0170,English_53,annotator_010,3,2
annotation_0171,English_57,annotator_011,4,3
annotation_0172,English_63,annotator_011,2,5
annotation_0173,English_56,annotator_011,3,3
annotation_0174,English_53,annotator_011,4,2
annotation_0175,English_60,annotator_011,3,4
annotation_0176,English_59,annotator_011,2,4
annotation_0177,English_64,annotator_011,3,5
annotation_0178,English_62,annotator_011,5,4
annotation_0179,English_51,annotator_011,2,2
annotation_0180,English_66,annotator_011,5,5
annotation_0181,English_67,annotator_011,1,1
annotation_0182,English_54,annotator_011,5,2
annotation_0183,English_61,annotator_011,4,4
annotation_0184,English_52,annotator_011,3,2
annotation_0185,English_55,annotator_011,2,3
annotation_0186,English_65,annotator_011,4,5
annotation_0187,English_58,annotator_011,5,3
annotation_0188,English_54,annotator_012,4,2
annotation_0189,English_62,annotator_012,5,4
annotation_0190,English_58,annotator_012,5,3
annotation_0191,English_52,annotator_012,2,2
annotation_0192,English_55,annotator_012,2,2
annotation_0193,English_61,annotator_012,4,4
annotation_0194,English_66,annotator_012,5,5
annotation_0195,English_67,annotator_012,1,1
annotation_0196,English_51,annotator_012,2,2
annotation_0197,English_56,annotator_012,3,3
annotation_0198,English_60,annotator_012,3,4
